n,death_rate,mean_fwd_drawdown,spearman_es5_drawdown,spearman_vol_drawdown,es5_quintile_drawdown_spread,formation_date
20,0.0,0.3287624509851218,0.4616541353383458,0.6330827067669172,0.13374313114961978,2015-12-31
22,0.045454545454545456,0.43509510175853305,0.6216826651609261,0.583286278938453,0.38125582419846904,2016-03-31
26,0.0,0.37571788047908145,0.6929914529914529,0.7217094017094016,0.29570316874857894,2016-06-30
29,0.0,0.4432578570271075,0.6719211822660096,0.622167487684729,0.3795360505677496,2016-09-30
32,0.0,0.34828122168665504,0.5821114369501466,0.6173020527859236,0.21409396531376065,2016-12-31
33,0.0,0.37601465665099393,0.21691176470588236,0.31717914438502676,0.10321685493415,2017-03-31
39,0.0,0.5530251487050781,0.5706477732793522,0.46740890688259107,0.21557295501815965,2017-06-30
54,0.0,0.3625444786175074,0.5021154945683247,0.5159900895749951,0.17251443260457916,2017-09-30
70,0.0,0.7726594333892903,0.3269880150468025,0.41835359986002973,0.11921882576706955,2017-12-31
85,0.0,0.6254474967830558,0.4992964627711549,0.44623803009575924,0.23454124451789699,2018-03-31
93,0.0,0.5840771332062945,0.43646862224344235,0.4959714720539523,0.18394586795642737,2018-06-30
