ticker,n_obs,rho,sharpe,explanatory_mean_return,explanatory_risk_averse,predictive_risk_averse,explanatory_prospect_theory,predictive_prospect_theory,explanatory_risk_neutral,predictive_risk_neutral,explanatory_risk_seeking,predictive_risk_seeking
MMM,1256,-0.07261766983305847,0.06012282196583748,0.0007230556622297744,18.33264558908668,17.00137158453191,6.489866744995288,6.018587744446674,0.356505098454292,0.33061652892093624,0.003133416573704071,0.0029058751635053955
AOS,1256,-0.042734009240317,0.07351948097633774,0.0012776531216017887,18.48512348525037,17.69518004742328,7.467683577528945,7.148559518523059,0.6193571075309566,0.5928894951746727,0.012733382464605848,0.012189233980702891
ABT,1256,0.010797744595720986,0.058136652477696754,0.0005980386842246531,16.59063281707251,16.411491401232375,6.103142979088185,6.037242799968823,0.38284222762520037,0.3787083950308466,0.00453703123716208,0.004488041532640396
ABBV,503,-0.04848054991465379,0.09631378659375468,0.0015008888128602304,22.53051889030872,21.438226944644057,9.179866331076425,8.734821363202824,0.7567713621704596,0.7200826703727741,0.012962172738834715,0.012333759476367273
ACN,1256,0.030403389997677933,0.05501396388454674,0.0007963152745845798,17.613815468784644,17.07829576774005,6.77405462185773,6.568100397323818,0.4894425069912829,0.4745617955697857,0.008388558560179525,0.008133517942756028
ADBE,1256,-0.07597224917564058,0.03760377722103688,0.0007046270619289429,16.554336041996795,15.296665899276926,6.647662645507508,6.142624762567413,0.5611178352135902,0.5184884512198472,0.015209756571192836,0.014054237155065336
AMD,1256,0.0398445987445399,-0.017961850031574023,-0.0005587771188258246,11.739721337425314,11.271956851362889,5.384399060080034,5.169859840050668,0.6473075601227344,0.6215158501253368,0.025250427513550416,0.02424433436114491
AES,1256,-0.04328143563566261,0.009635445771372868,0.0001699107120634225,15.984433221113111,15.292604003480957,6.429248869749846,6.150981748608111,0.5130914860782649,0.49088414994836205,0.008629285675656009,0.008255797803103359
AFL,1256,-0.0870060658695837,0.025722577574212587,0.00046252554021881427,16.801409718611236,15.339585157931882,6.578251521420306,6.0059037362409216,0.5055504509103718,0.46156449507806624,0.009274972998828323,0.008467994087153655
A,1256,-0.00045419469886367797,0.035030498743316686,0.0007088434060014728,16.297115806464294,16.289713742858233,6.722156331413361,6.7191031636427,0.5912652698375457,0.5909967202863633,0.012812872975517937,0.012807053436535243
APD,1256,-0.016449299752824404,0.04633926755840547,0.0006436451132887072,17.333843067880682,17.048713487388696,6.570873802846824,6.462787530025816,0.4519654362009179,0.444530921262933,0.006762522818326858,0.006651284053402884
AKAM,1256,0.0031152506679504445,0.04093232417994269,0.0010852115022410075,15.150444116392977,15.103246685239638,6.519187681291869,6.498878777513229,0.6926677011181056,0.6905098675995297,0.032804925110693044,0.03270272954582989
ALB,1256,0.006858399395557107,0.03122784474316027,0.0006022826413774924,16.78669847607355,16.671568593391846,6.772191957784545,6.725745560554679,0.5590908893894192,0.5552564207715693,0.011200586890121789,0.011123768791764693
ARE,1256,-0.044296987044566256,0.03309347170844144,0.00049620505448948,16.857966885667594,16.111209744935447,6.4927907047879865,6.205179639054912,0.4675307755479096,0.44682057084052784,0.006877612052973353,0.006572954560965239
ALGN,1256,0.054982169321353344,0.04553719634984786,0.0012463493355050392,14.663748550715335,13.857503845014154,6.474222742224134,6.11825593118701,0.7278966799517028,0.6878753414461474,0.03818804135295072,0.03608837999723194
ALLE,281,0.14989548804840108,0.042317177882875784,0.000600506668313002,17.92329715509317,15.23667578059396,7.350213209644052,6.248449413324652,0.6267886387579792,0.5328358498481589,0.011743478631899253,0.009983184170984745
LNT,1256,-0.029895191164187627,0.07941196001972307,0.0008391676150189845,18.65481996678615,18.097130557745572,6.792825884850089,6.589753056477454,0.40111953250469523,0.3891279874007778,0.003661831596082943,0.0035523604405069812
ALL,1256,-0.1424126514668364,0.062410349293707985,0.0008576260318237579,17.88124124274441,15.334726265847028,6.722417119259953,5.765059873040091,0.46231862002384805,0.39647859952376296,0.007161523440086208,0.006141631898441632
GOOGL,1256,-0.005891218723209552,0.034239724008521856,0.0005373563142098139,16.29950094410739,16.203477018966492,6.3299018214106795,6.292610985284306,0.4830151359935227,0.48016958818076405,0.011696115837522988,0.011627211460912145
GOOG,1256,-0.0041781144337197625,0.03394122841378333,0.0005324177405967308,16.23126047044421,16.163444406795183,6.306950327197783,6.280599167002965,0.48195517548189803,0.4799415116068112,0.011691644405735505,0.011642795377489983
MO,1256,-0.05141329314818482,0.10594614676073583,0.0009943861265521209,20.252851524942994,19.211585732404437,7.254367630872114,6.881396701261384,0.4080115213404853,0.38703430538597006,0.003571807234165568,0.003388168861766607
AMZN,1256,-0.034241691570165045,0.043503351249176356,0.0008938896174293421,16.10013438573905,15.548838549864364,6.801640575417884,6.5687408966633045,0.6424182356259346,0.6204207485425817,0.01686495758203765,0.0162874729061696
AMCR,661,-0.08036288104399478,0.05272181182604406,0.0007246835071230686,9.553804369474001,8.786033125412365,4.444783424745256,4.087587823116134,0.5371511425065723,0.4939841291386707,0.017737288890222015,0.016311869253094132
AEE,1256,-0.05159454145042959,0.058730622201214874,0.0006656963193720524,17.610952503476167,16.702323484554018,6.6520964066566215,6.308884542871122,0.4373204827489234,0.41475713297461214,0.005054424452395109,0.004793643740477945
