bed,date,var_partial,median_kurt,blowup_rate,n_assets
crypto_2016_calm,2016-02-29,0.20209529915354277,7.85700179378523,0.07368421052631578,95
crypto_2016_calm,2016-03-31,0.032529083011501043,8.713681668507936,0.12371134020618557,97
crypto_2016_calm,2016-04-30,0.014603299255597196,11.19306768781994,0.1326530612244898,98
crypto_2016_calm,2016-05-31,0.09451923324602289,12.749866932898303,0.17894736842105263,95
crypto_2016_calm,2016-06-30,0.2518767690008386,10.823116683663319,0.11458333333333333,96
crypto_2016_calm,2016-07-31,0.13064574128314216,10.78289582075888,0.14893617021276595,94
crypto_2016_calm,2016-08-31,0.03385488434428779,10.49731994142504,0.11458333333333333,96
crypto_2016_calm,2016-09-30,0.23028413191251504,11.410108611416096,0.1326530612244898,98
crypto_2017_bull,2017-01-31,0.28625660358371213,8.843905673847235,0.07446808510638298,94
crypto_2017_bull,2017-02-28,0.11485607396457609,7.66761921696434,0.05102040816326531,98
crypto_2017_bull,2017-03-31,0.08904412944137602,6.339112612836875,0.042105263157894736,95
crypto_2017_bull,2017-04-30,0.15216862049269264,6.748182376461391,0.043478260869565216,92
crypto_2017_bull,2017-05-31,0.13120923333539125,8.072823821414616,0.08888888888888889,90
crypto_2017_bull,2017-06-30,0.12104022769055182,7.603996679730274,0.06097560975609756,82
crypto_2017_bull,2017-07-31,0.20249819186628423,6.575209639496676,0.0375,80
crypto_2017_bull,2017-08-31,0.36941648600495564,6.173780535398865,0.05,80
crypto_2017_bull,2017-09-30,0.2805601929364591,5.514691862979799,0.02247191011235955,89
crypto_2018_crash,2018-02-28,0.012862675216134156,4.420760816729875,0.03125,96
crypto_2018_crash,2018-03-31,0.36575707883564434,5.019872678463593,0.041666666666666664,96
crypto_2018_crash,2018-04-30,0.3283361912069494,4.441820531236566,0.031914893617021274,94
crypto_2018_crash,2018-05-31,0.12046412883171966,5.169648276714426,0.20202020202020202,99
crypto_2018_crash,2018-06-30,-0.10630324710843961,3.536429842528829,0.02,100
crypto_2018_crash,2018-07-31,0.02280469530137314,2.2530736440297856,0.02,100
crypto_2018_crash,2018-08-31,0.20089585203679017,1.8182621907851058,0.030303030303030304,99
equity_1994_99_calm,1994-01-31,-0.035359181103307116,1.347975211276446,0.0,273
equity_1994_99_calm,1994-02-28,-0.058518832600000875,1.1852015502177444,0.0,273
equity_1994_99_calm,1994-03-31,0.1206249896363899,1.1598239052105224,0.0,274
equity_1994_99_calm,1994-04-30,0.08183274322199512,1.0727905649571863,0.0,275
equity_1994_99_calm,1994-05-31,0.1226940514813736,1.1386910236398329,0.0,278
equity_1994_99_calm,1994-06-30,0.10032177651400587,1.1536082697227865,0.0,281
equity_1994_99_calm,1994-07-31,0.09326273386553904,1.1241998616061082,0.0,281
equity_1994_99_calm,1994-08-31,0.10724072744574374,1.0808898966863483,0.0,282
equity_1994_99_calm,1994-09-30,0.11232519686618206,1.1107941588475918,0.0,282
equity_1994_99_calm,1994-10-31,0.19689027844352802,0.987255683670007,0.0,282
equity_1994_99_calm,1994-11-30,0.1853260858650956,1.0263563516732845,0.0,282
equity_1994_99_calm,1994-12-31,0.1706673959358297,1.204733140422055,0.0,282
equity_1994_99_calm,1995-01-31,0.15051356385763615,1.1770408980949805,0.0,285
equity_1994_99_calm,1995-02-28,0.16737997031886206,1.1308900680501264,0.0,287
equity_1994_99_calm,1995-03-31,0.10020624058360827,1.0874023414336618,0.0,287
equity_1994_99_calm,1995-04-30,0.06741685511214214,1.0780986211315695,0.0,288
equity_1994_99_calm,1995-05-31,0.013309850556072294,1.0205962226968412,0.0,288
equity_1994_99_calm,1995-06-30,-0.009107033109305931,1.039970933556944,0.0,290
equity_1994_99_calm,1995-07-31,-0.09328849211233843,1.0080810520305206,0.0,290
equity_1994_99_calm,1995-08-31,-0.07179760898981201,0.9734269492718493,0.0,292
equity_1994_99_calm,1995-09-30,0.001922588288415829,1.0539349795809168,0.0,293
equity_1994_99_calm,1995-10-31,0.09945543943616812,1.242790093014527,0.0,294
equity_1994_99_calm,1995-11-30,0.07114012920947149,1.3636603420489406,0.0,295
equity_1994_99_calm,1995-12-31,0.027839179130831015,1.371808643435826,0.0,298
equity_1994_99_calm,1996-01-31,-0.08804140160911823,1.425651400536219,0.0,300
equity_1994_99_calm,1996-02-29,-0.0438598551730582,1.3458018971189976,0.0,303
equity_1994_99_calm,1996-03-31,-0.044187458787454566,1.3572334990394035,0.0,304
equity_1994_99_calm,1996-04-30,-0.040726313613261574,1.2410621166910518,0.0,305
equity_1994_99_calm,1996-05-31,-0.057118470158201914,1.2404049514877915,0.0,305
equity_1994_99_calm,1996-06-30,-0.01885580573274931,1.3503923856306645,0.0,305
equity_1994_99_calm,1996-07-31,0.14668163623948025,1.35421150928404,0.0,305
equity_1994_99_calm,1996-08-31,-0.0051435900381028386,1.4877853315803211,0.0,306
equity_1994_99_calm,1996-09-30,0.11070354371141443,1.3404738943987216,0.0,307
equity_1994_99_calm,1996-10-31,0.028135935007978927,1.4694190545396104,0.0,307
equity_1994_99_calm,1996-11-30,0.08102458531900529,1.5640010581545871,0.0,307
equity_1994_99_calm,1996-12-31,-0.03910921660960745,1.473586790955153,0.0,307
equity_1994_99_calm,1997-01-31,-0.020174361312460237,1.2039248034063323,0.0,307
equity_1994_99_calm,1997-02-28,-0.031107113147883624,1.128240664934566,0.0,308
equity_1994_99_calm,1997-03-31,0.024979404839378546,1.1954062999627224,0.0,309
equity_1994_99_calm,1997-04-30,-0.011493109080429638,1.1117586286191505,0.0,309
equity_1994_99_calm,1997-05-31,-0.08812826675646311,1.0003637411810853,0.0,310
equity_1994_99_calm,1997-06-30,-0.0029997046897455443,1.1244428227508605,0.0,310
equity_1994_99_calm,1997-07-31,-0.036962830493243976,1.1296300480228787,0.0,312
equity_1994_99_calm,1997-08-31,-0.08609846243980314,1.2071967246057418,0.0,314
equity_1994_99_calm,1997-09-30,0.01676502336673238,1.2086070902285941,0.0,317
equity_1994_99_calm,1997-10-31,0.09281837161857684,2.114473762190717,0.0,317
equity_1994_99_calm,1997-11-30,0.12471386827434938,1.8809077294489551,0.0,317
equity_1994_99_calm,1997-12-31,0.11418404358266666,1.8229094958853107,0.0,318
equity_1994_99_calm,1998-01-31,0.0431077890446723,1.7761664625975007,0.0,319
equity_1994_99_calm,1998-02-28,0.08515437387728621,1.8489211283643145,0.0,322
equity_1994_99_calm,1998-03-31,0.10920391755310113,1.9308164979945404,0.0,324
equity_1994_99_calm,1998-04-30,0.14988127958905634,1.2028665293454317,0.0,325
equity_1994_99_calm,1998-05-31,0.10020654885806238,1.3572940508185454,0.0,327
equity_1994_99_calm,1998-06-30,0.08392697559824283,1.1939452961374069,0.003048780487804878,328
equity_1994_99_calm,1998-07-31,-0.03280346600959495,1.1766468529686698,0.003048780487804878,328
equity_1994_99_calm,1998-08-31,-0.07558295187853618,1.9621805663571044,0.0,328
equity_1994_99_calm,1998-09-30,0.06036882330449564,2.035963548267035,0.0,332
equity_1994_99_calm,1998-10-31,0.13993484288117036,2.021359329906211,0.0,332
equity_1994_99_calm,1998-11-30,0.09561509733262677,1.8217469469588874,0.0,333
equity_1994_99_calm,1998-12-31,-0.029448709332309586,1.707283578990455,0.0,334
equity_1994_99_calm,1999-01-31,-0.057388115816821905,1.5779562003912173,0.0,334
equity_1994_99_calm,1999-02-28,-0.04425561876006158,1.3250179743455845,0.0,334
equity_1994_99_calm,1999-03-31,-0.055848300476544536,1.400340820331715,0.0,334
equity_1994_99_calm,1999-04-30,-0.08050796280343284,1.1596173204559914,0.0,335
equity_1994_99_calm,1999-05-31,-0.01865090314704762,1.1217515651909862,0.0,335
equity_1994_99_calm,1999-06-30,-0.037585292306419917,1.3515473149002633,0.0,336
equity_2005_09_gfc,2005-01-31,0.11068588583960615,1.5329744353843413,0.0,383
equity_2005_09_gfc,2005-02-28,0.08035525341949107,1.6977247541928064,0.0,384
equity_2005_09_gfc,2005-03-31,0.0688787036591621,1.636087008987186,0.0,385
equity_2005_09_gfc,2005-04-30,0.08396012432763426,1.4989199062625307,0.0,385
equity_2005_09_gfc,2005-05-31,0.08761721181905928,1.3701834406640403,0.0,385
equity_2005_09_gfc,2005-06-30,0.03007107754384155,1.3969359514024209,0.0,385
equity_2005_09_gfc,2005-07-31,0.09405596541135447,1.5499664776161635,0.0,386
equity_2005_09_gfc,2005-08-31,0.15496098208487868,1.8795206132377476,0.0,386
equity_2005_09_gfc,2005-09-30,0.15118031241486962,1.90941513914691,0.0,387
equity_2005_09_gfc,2005-10-31,0.09106462713498087,1.7846216500625296,0.0,389
equity_2005_09_gfc,2005-11-30,-0.016612067211664104,1.9484688157998362,0.0,390
equity_2005_09_gfc,2005-12-31,0.05482997481761221,1.9274858023087855,0.0,391
equity_2005_09_gfc,2006-01-31,0.11044638105806318,1.768958900626827,0.0,391
equity_2005_09_gfc,2006-02-28,0.07335221554157823,1.6192577193671238,0.0,392
equity_2005_09_gfc,2006-03-31,-0.015736051446848608,1.7964019604345287,0.0,394
equity_2005_09_gfc,2006-04-30,-0.026516995923367096,2.050938375762361,0.0,395
equity_2005_09_gfc,2006-05-31,0.026875124918489455,1.825773317115016,0.0,396
equity_2005_09_gfc,2006-06-30,0.06227423487813317,1.6402227464500116,0.0,397
equity_2005_09_gfc,2006-07-31,0.09039034834083617,1.6132603075665468,0.0,397
equity_2005_09_gfc,2006-08-31,0.06693545762755423,1.570651505214585,0.0,398
equity_2005_09_gfc,2006-09-30,0.07204557562934147,1.4712973841327628,0.0,398
equity_2005_09_gfc,2006-10-31,0.15117008677470645,1.4771149821369156,0.0,398
equity_2005_09_gfc,2006-11-30,0.09932353373100451,1.870857366762583,0.0,398
equity_2005_09_gfc,2006-12-31,0.136817695019626,2.3003222871172833,0.0,398
equity_2005_09_gfc,2007-01-31,0.06912030917413522,1.9638941987943959,0.0,399
equity_2005_09_gfc,2007-02-28,-0.0660226249628621,2.749733450100684,0.0,400
equity_2005_09_gfc,2007-03-31,0.020059908552001102,2.6056379686894546,0.0,400
equity_2005_09_gfc,2007-04-30,0.1234371452723353,2.478942945000429,0.0,400
equity_2005_09_gfc,2007-05-31,0.05587835965340002,2.6545700033280033,0.0,400
equity_2005_09_gfc,2007-06-30,0.047076184674666975,2.253444561739809,0.0,402
equity_2005_09_gfc,2007-07-31,-0.05745176054466756,2.015398958675199,0.0,405
equity_2005_09_gfc,2007-08-31,-0.09000343855021789,2.0288268020947373,0.0,406
equity_2005_09_gfc,2007-09-30,-0.0781881766316368,1.8860279818949461,0.0,408
equity_2005_09_gfc,2007-10-31,-0.04071629990089686,1.6192276304764714,0.0,409
equity_2005_09_gfc,2007-11-30,-0.09098485261431509,1.3150843171166535,0.0,409
equity_2005_09_gfc,2007-12-31,-0.053874408428772405,1.1465844429250414,0.0,409
equity_2005_09_gfc,2008-01-31,0.11872543899830305,1.1629913314724796,0.0,410
equity_2005_09_gfc,2008-02-29,0.08503477715410712,1.264126889532223,0.0,411
equity_2005_09_gfc,2008-03-31,0.07208456391807191,1.1329450181541887,0.0,412
equity_2005_09_gfc,2008-04-30,0.11397006203230546,0.9732788714818383,0.0024271844660194173,412
equity_2005_09_gfc,2008-05-31,0.2062335536047678,1.1498911742418376,0.0,412
equity_2005_09_gfc,2008-06-30,0.16960052373578835,1.1566753774440306,0.0024154589371980675,414
equity_2005_09_gfc,2008-07-31,0.29780717411608676,1.302099874944827,0.004819277108433735,415
equity_2005_09_gfc,2008-08-31,0.270898696164058,1.281153221977882,0.02403846153846154,416
