ticker,n_obs,rho,sharpe,explanatory_mean_return,explanatory_risk_averse,predictive_risk_averse,explanatory_prospect_theory,predictive_prospect_theory,explanatory_risk_neutral,predictive_risk_neutral,explanatory_risk_seeking,predictive_risk_seeking
A,109,-0.07668388676605815,0.02607270352904047,0.0044769101619459035,3.4345101754073126,3.1711385860195036,2.2687978646143163,2.0948176260691573,0.8146420200171249,0.7521721035992588,0.24544388388387878,0.2266222928847059
AAPL,131,0.01103456907695071,0.2304309147706497,0.03491343905672896,6.234807951632448,6.166009532608639,4.111196979719808,4.065831692658139,1.332721169887018,1.3180151660775852,0.22965796095657057,0.22712378432232366
ABT,131,-0.06957059149612406,0.09310402340306784,0.005730417574095851,5.833511071378816,5.427670255643803,3.119546642573284,2.9025179374497125,0.5759878387374311,0.5359160241018939,0.03889805733147933,0.036191896474878166
ADBE,131,0.029077561988735564,0.14735408499413577,0.022402723881287372,5.468772402440905,5.309753833906643,3.4725990997274763,3.3716243841431233,1.0701053019410351,1.0389892486893701,0.24128290723053616,0.2342669885387179
ADI,131,-0.08365884574311816,0.08951097930237292,0.014837528055873232,4.127698602572562,3.7823801019058596,2.6767108223045035,2.452780284522396,0.9280818333527153,0.8504395784192702,0.25174712531868443,0.23068625139537516
ADM,131,0.08719560007261444,0.09379996206251588,0.008756472886766464,4.872987887365086,4.448084784379706,2.900521724721505,2.647608992410759,0.7499014544565228,0.68451334713986,0.10905040264800338,0.09954168735095051
ADP,131,-0.09225966148856969,0.08042421412426003,0.00581018265847855,5.25373546028828,4.769027605171589,2.895558755685739,2.6284154850659087,0.5910468624097104,0.5365170789599093,0.05069400872017183,0.04601699663615018
ADSK,131,0.00996734827204122,0.11064756759907421,0.016476970268969725,4.74226585296812,4.694998037612978,3.0470685034602196,3.016697310477464,0.9568279732179058,0.9472909355724116,0.19217792662349198,0.19026242229863685
AEE,131,-0.025347829428790655,0.036817593441861016,0.0019367525839670337,4.764111893211487,4.643351997562689,2.4880668706166222,2.424999775972807,0.42271257787762095,0.41199773155617464,0.027345669133584653,0.026652515776770403
AEP,131,0.09014512747234697,0.026164895545398987,0.00174899687787949,4.8739349417510685,4.434573455134992,2.674951065995051,2.433817261168637,0.5170216253332601,0.4704146450116334,0.040395873531388286,0.03675438236254448
AES,131,-0.019682205515051204,0.06472055475310788,0.011892106121812478,4.192356377287992,4.109841557477875,2.6663869419230664,2.613906566149488,0.8836501136359737,0.8662579304959921,0.24169283815152012,0.2369357900395059
AFL,131,-0.14635552160674994,0.1554126723974299,0.013028715341328476,6.114137308199715,5.219299553282855,3.509486325625111,2.9958536238664917,0.8098078276567762,0.6912879806388397,0.09020742807037535,0.07700507288233219
AIG,131,0.3044118741317191,-0.10791201002871237,-0.012358041554691716,3.24115855563568,2.254511405356567,1.710097843082082,1.189523753720855,0.3197458969719384,0.22241144922878306,0.025557452190407254,0.017777460271093573
ALL,131,-0.1322350435611411,0.02906931398506303,0.002528195251339949,4.776394874182124,4.144788089929439,2.6283835216336646,2.2808191121550516,0.5621523299879098,0.48781609214396154,0.06461527194788315,0.05607086864713984
AMAT,131,-0.010206209080887343,0.07867043377936032,0.010798441309098905,4.521475602845247,4.475328477488477,2.817631812283473,2.7888744728943484,0.8421498830435584,0.833554725259771,0.15679742496772228,0.15519711766515698
AMD,131,0.12496998785231495,0.04804108705072956,0.010294046379223367,3.0519343334748803,2.6705341368944615,2.1450205757847165,1.876957380485935,0.8968366163715672,0.7847589553181012,0.27864270017142995,0.24382072531587012
AMGN,131,-0.030008068518092387,0.16326134112590782,0.0165897078515793,5.8682417644963145,5.692147163546578,3.519959792477254,3.4143325978436665,0.9382897720599487,0.9101335082901485,0.14715174795185693,0.14273600821676055
AMZN,131,0.09289182926151777,0.17703522552051784,0.03897868059629664,4.868514806571512,4.4162695604023,3.307385347635379,3.000156272620788,1.3253292507922942,1.2022169923124013,0.5029464328629546,0.45622681869375964
APA,131,-0.1380026476322809,0.1721274909908473,0.018577967641979456,6.014958937165268,5.184878678437011,3.6801630185843544,3.172290778301307,0.9931232087944137,0.8560695765557181,0.14198347396690042,0.12238937863943913
APD,131,0.020003416518535332,0.07136000512253472,0.0059159407988680504,5.461747628397609,5.3524940156676495,3.0163323714676133,2.9559954186828055,0.6255588763558607,0.6130455615952475,0.06945481617251151,0.06806548255539446
AVY,131,-0.12460503615696332,0.017053273008800413,0.001295371892633364,4.882080850728102,4.273748989801909,2.6621332247468485,2.3304180180226144,0.5272144360948656,0.46152086222279187,0.04047448495146744,0.03543116029065537
AXP,131,0.18543068508731408,0.017533340773566202,0.0013861191465595643,5.171209504060199,4.212308582992287,2.712677721765993,2.2096640333978304,0.464275226054792,0.3781843528183843,0.02618763432470076,0.021331643351055436
AZO,131,-0.12368249899641465,0.18179209253923667,0.01669559100413263,6.705173417853683,5.875860813329208,3.9196739692907783,3.4348788975176987,0.9378603655141347,0.8218634517976555,0.10721601897042571,0.09395527381171645
BA,131,0.1003551197448356,0.03944228304464678,0.003518425866755913,5.321730430922465,4.787667536277506,2.9982778004343835,2.697385272743509,0.6188853179659258,0.5567770077731347,0.05078667150848502,0.04568996900780938
BAC,131,-0.08347084004662736,0.0020487458734765817,0.00019002805757000417,4.176400117150895,3.8277924910014773,2.372960096496136,2.174887123844478,0.5310258012991046,0.48670063157823495,0.06284564781306717,0.05759986879683597
BAX,131,-0.1769330952687235,0.10921696232284585,0.008496178047300403,6.626587157234721,5.4541245804372105,3.5918246521209927,2.9563119987587196,0.68050588905169,0.5601018757531799,0.052927792382592216,0.04356311425059981
BBY,131,0.004830613544108247,0.15249468257850504,0.026069060444687736,4.927419527103703,4.903617067598573,3.2173824928223542,3.2018405613759495,1.1323897836497612,1.1269196462236528,0.2981418630764493,0.29670165495460654
BDX,131,-0.19198579707260313,0.12269063104305625,0.009120223895500032,6.072777346521172,4.9068903472048575,3.3662742937380377,2.7199974402897262,0.7027611989566354,0.5678410300232475,0.06826202743208722,0.05515668768574605
BEN,131,0.010486703232517786,0.07834752404742261,0.007852345677724575,5.5831686492554535,5.524619616533615,3.1845841378774953,3.1511883491045904,0.7183918572431626,0.7108582950315963,0.0867158380552375,0.08580647479599315
BIIB,131,0.10091477718457341,0.1668678790068082,0.02904521442296676,5.1879815718030375,4.664437567446861,3.389721879908818,3.047648851680146,1.1888523565753926,1.0688795859062319,0.32398920938641107,0.2912939105109753
BMY,131,-0.08919894286812494,-0.027875410234942992,-0.0020646051704273473,4.396792012079629,4.00460281259111,2.4247939820709337,2.2085049221972155,0.4661109923976912,0.42453438461660453,0.03332754670721148,0.030354764772540163
BSX,131,0.0914988259735606,0.029171588145401918,0.0035283326026264456,4.349733964558474,3.951738413504052,2.6425396726111523,2.4007503949786746,0.7020029864086398,0.6377705373223158,0.10753933108719314,0.09769960854673294
C,131,0.1552350426162806,-0.04161415041391753,-0.004204077375581784,3.927836236290392,3.3180984107600815,2.197380679548599,1.8562701961146806,0.4736023561356548,0.40008267419776555,0.045312773500826554,0.03827864317536387
CAH,131,-0.0032571166223135176,0.04454980371882598,0.003682622707518987,5.259374626718399,5.24224423019874,2.910613848221475,2.901133639475297,0.5977475391899124,0.5958006057440699,0.052726444436095705,0.052554708257487405
