universe,investor,spearman_rho,p_value,n
A_survivors,risk_averse,-0.362354689994402,1.1626831046732611e-07,202
A_survivors,prospect_theory,-0.24394609889633914,0.00046768135611942893,202
A_survivors,risk_neutral,0.15794193933032005,0.024770980219621926,202
A_survivors,risk_seeking,0.29841792355104935,1.605492771395297e-05,202
B_plus_delisted,risk_averse,-0.45385262130697324,5.917219901538976e-17,306
B_plus_delisted,prospect_theory,-0.3624518232561354,6.233919868755376e-11,306
B_plus_delisted,risk_neutral,0.024422114656724014,0.6704521305095493,306
B_plus_delisted,risk_seeking,0.23859374689161195,2.468350476118387e-05,306
