ticker,n_obs,rho,sharpe,explanatory_mean_return,explanatory_risk_averse,predictive_risk_averse,explanatory_prospect_theory,predictive_prospect_theory,explanatory_risk_neutral,predictive_risk_neutral,explanatory_risk_seeking,predictive_risk_seeking
MMM,131,-0.04219364265447844,0.21865464495598103,0.012788605652942639,6.021282054973577,5.767222231624198,3.0793017768773914,2.9493748180785264,0.4638670466425724,0.4442948062373474,0.020177488659839527,0.01932612691366147
ABT,105,-0.09563463504070105,0.2764089684683506,0.01970986985430246,6.875553591920198,6.218012533454129,3.746715622168707,3.3883998410413096,0.7357663258919384,0.6654015818400253,0.05667866859487561,0.051258224809211834
AMD,105,-0.04629923718073156,0.11185087320109188,0.0184493343592702,3.643258765069754,3.47457866339501,2.465400887417176,2.351254706985062,0.8726042197021269,0.8322033099692309,0.18048634363583174,0.17212996360395336
AFL,105,-0.12444922188893114,0.26534567876974435,0.025846368020070898,6.572571171900065,5.754619803747482,3.9068223276229546,3.420621328891975,0.9755941124214573,0.8541821842511845,0.12146867827187605,0.10635199577706415
APD,105,-0.020924043501784426,0.15482389918609601,0.013149990150603849,5.431150401297297,5.317508774035819,2.9908792610634376,2.9282979732963614,0.6194586414050864,0.6064970618447701,0.0512892450488403,0.05021606665426468
LNT,131,-0.07421231760509792,0.169425416714163,0.008478200777084027,4.775013452067532,4.420648637194081,2.4461304565621416,2.2645974462162486,0.4053864515891147,0.37530178349097965,0.024005018814172337,0.02222355073381863
MO,131,0.017127776003820285,0.31127319508253554,0.02058038247492405,8.123057418442546,7.983927510513291,4.350512166347918,4.275997568460816,0.7783914369992815,0.765059322823066,0.04959568703409471,0.04874622321581916
AEP,131,-0.13993423537094649,0.22132336090821864,0.011066278796955114,4.804177760093154,4.131908818648412,2.511172114421641,2.1597731647052054,0.4276417275714988,0.3678000094110705,0.02585881056108675,0.02224027767761892
AXP,131,0.10986694377222563,0.18671794108864553,0.015739280951294246,5.817848835219876,5.178659564365466,3.2602965742448444,2.9020977538415065,0.6801484355049762,0.6054226055845837,0.05826154516466459,0.0518605272579754
AIG,131,0.09656951049439129,0.25680332098621383,0.01727107169717542,7.002544911571243,6.326312577245817,3.7229417653600017,3.363419101480061,0.6730332935730383,0.608038797866262,0.04467097169303259,0.040357117823327626
ADI,105,-0.025797836673890913,0.1529704170113609,0.018608135583978874,4.9874945579052214,4.858827987888462,3.076394952478586,2.997030617950161,0.8316251528505136,0.8101710229833765,0.10116582016777816,0.09855596086210959
AON,102,-0.03239697293967578,0.2081374154120432,0.014612318587322351,5.866964979161682,5.676893073493755,3.1649018958863957,3.0623686548086355,0.6051139657489184,0.5855101049751308,0.047972246944644914,0.04641809135852381
APA,115,-0.13063589885505725,0.05566151215072207,0.006371976164888976,4.128210491895945,3.58891800362424,2.4720716347385556,2.1491303347003936,0.6133085922429194,0.5331884730197359,0.0684044264511669,0.05946835271605406
AMAT,105,-0.023341888641244365,0.1563677821313711,0.026503067106755557,3.9792608812668453,3.886377416901855,2.7353017798589985,2.671454670313332,0.9967843072111258,0.9735174789128638,0.20661664321366002,0.20179382053633907
ADM,105,-0.061937522016443626,0.15196705255284182,0.013209487646570602,5.602181955045393,5.255196686864646,3.154751578108811,2.9593540827832863,0.6542318842973396,0.6137103825598137,0.05157620627199082,0.04838170386049475
ADP,105,-0.06844071729320264,0.23636384448022438,0.01803540792382676,5.997496078428079,5.587023144857291,3.3385139449871635,3.1100236558988823,0.7100672391196468,0.661469727947894,0.06168605295235149,0.05746421524130607
AVY,131,0.00616271104078075,0.22470252147021152,0.01755377751802678,6.567161954966581,6.5266904334801135,3.6071747603160205,3.5849447845945956,0.7131278505469468,0.708733049668893,0.056689428889892236,0.05634006832057695
