ticker,n_obs,rho,sharpe,explanatory_mean_return,explanatory_risk_averse,predictive_risk_averse,explanatory_prospect_theory,predictive_prospect_theory,explanatory_risk_neutral,predictive_risk_neutral,explanatory_risk_seeking,predictive_risk_seeking
BNY,131,-0.15278271120860668,0.062214697312550034,0.00530204127154259,5.122525859729263,4.339892470643628,2.874345189208003,2.4351949382513887,0.6166208851509885,0.5224118745297696,0.058842993656468244,0.049852801550002185
BA,131,0.09609040538517365,0.052467791010645526,0.004695482289047218,5.4430180659195395,4.919996253446507,3.0846139300492967,2.788212127054106,0.6441472412347381,0.5822508716967508,0.0534729365043432,0.048334700358505206
BKNG,117,-0.011069063308972846,0.07329462773740908,0.020504071122600276,3.0176987617700464,2.984295663128605,2.1624356393604325,2.1384995023667726,1.0416670765453713,1.0301367977282179,0.49329920390894655,0.48783884379061254
BSX,131,0.09170179976742616,0.029211419741842926,0.003534285640245576,4.34978501021329,3.9509018961753584,2.6425503839364417,2.4002237577533667,0.7021041724175595,0.63771995618265,0.10766034779382862,0.09778770013754748
BMY,131,-0.07390044477836098,0.004392919091149729,0.0003249077728279355,4.723897844668674,4.374799692860118,2.6067828315231227,2.4141404208329686,0.5058939611154825,0.46850817237836145,0.03673850370630091,0.03402351194191381
BRO,131,-0.06043650204755113,0.21082327388078537,0.0165810800844623,6.483225726011343,6.091402241146522,3.83648011013519,3.6046166721036155,0.9292603852528434,0.8730991380768017,0.10348782775084835,0.09723338543708758
BF-B,131,-0.07387067481408172,0.16439799295118307,0.011041889738642261,6.542345451524337,6.059057978153396,3.6167583353225465,3.349585956452815,0.7288511553518324,0.6750104286669695,0.06235947578578458,0.05775293922843629
BXP,131,0.09172760966765948,0.1644208243323288,0.010573885644692632,7.040643556871582,6.394822152877744,3.8461199605295264,3.4933245700550803,0.7162222096719062,0.650524858387813,0.04499348781227426,0.04086634272464337
CHRW,131,-0.27503469065247144,0.24039475779054822,0.022663370021373672,7.204680866981343,5.22314369348135,4.314967568455349,3.128201798089785,1.1144772091097266,0.8079573146630032,0.15361108193828205,0.1113627055365952
CDNS,131,-0.09818695685716004,-0.03189718007309154,-0.004551883410089512,3.5760380880940796,3.224917790618825,2.16593950038612,1.9532724921064892,0.6122874720874156,0.5521688284813889,0.10582972857883814,0.0954386295846628
