formation_date,es5bv_naive,es5bv_death,var5bv_naive,var5bv_death,meandd_naive,meandd_death,es5bv_diff,meandd_diff
2016-01-31,0.04359865723654821,0.0846864434243365,0.055868897632610805,0.2259552913584316,0.39746060248204096,0.49598484554833994,0.041087786187788286,0.09852424306629898
2016-02-29,-0.1057514860811739,0.16899332154072957,0.15823050590877105,0.19792951631919264,0.44947125390978326,0.5450021256728514,0.27474480762190345,0.09553087176306818
2016-03-31,0.2774193101416765,0.14082637738725262,0.3528363354437766,0.03036983463379184,0.43509510175853305,0.5439093343280665,-0.13659293275442386,0.10881423256953349
2016-04-30,0.10852220691501878,0.2782077288797885,0.1366562213755568,0.06231474367158567,0.38041919692873505,0.49747458727969923,0.16968552196476971,0.11705539035096418
2016-05-31,0.1845020819345403,0.17560486029427674,0.14440351532003895,0.14141317127305394,0.38957783556527226,0.5405660036420001,-0.008897221640263547,0.15098816807672788
2016-06-30,0.03789782441063864,0.25866698475568006,0.2347965748804032,0.25266657943262033,0.37571788047908145,0.5240303233536553,0.22076916034504143,0.14831244287457385
2016-07-31,-0.17980306807895802,-0.014252782063583954,-0.023186436271903133,0.09608370721223088,0.3964465030820865,0.5213851378986756,0.16555028601537405,0.12493863481658907
2016-08-31,-0.17363316162632697,-0.05149838469856596,0.04302744517358266,0.05963125063428274,0.4493824428221206,0.5269509415229336,0.12213477692776101,0.07756849870081306
2016-09-30,0.32653834002785237,0.12521966866685394,0.5918471605393789,0.25873843901635685,0.4432578570271075,0.5241779832386221,-0.20131867136099843,0.08092012621151456
2016-10-31,0.16068193067886233,0.14077806116803676,0.3094596564130174,0.18567461835546878,0.37480575206129135,0.4737854511649105,-0.019903869510825567,0.09897969910361915
2016-11-30,0.021920569024682205,0.04054983001370209,0.276444433581128,0.1836881410997099,0.340141498431045,0.419270903273275,0.018629260989019885,0.07912940484222997
2016-12-31,0.04524661490216594,0.2366874504531662,0.3118766666602275,0.41014534963254773,0.34828122168665504,0.4274275146741415,0.19144083555100025,0.07914629298748643
2017-01-31,0.01623086687145605,0.10626051395525568,0.31424788736163106,0.28314476830305313,0.3384412920705963,0.43678231339689794,0.09002964708379962,0.09834102132630163
2017-02-28,-0.1655699398735775,0.033541145024685116,-0.13473992660208198,0.10029516582192574,0.3793997215617593,0.43994051179857846,0.1991110848982626,0.060540790236819186
2017-03-31,-0.10413142812741398,0.1312710723054819,-0.020519576967242006,0.1035950431399346,0.37601465665099393,0.4240032199081283,0.2354025004328959,0.04798856325713435
2017-04-30,-0.03564884986609548,0.062350316090666734,0.129695046564981,0.16203638329828607,0.6048646246602828,0.6389499473620975,0.09799916595676222,0.034085322701814746
2017-05-31,0.014928104350468829,-0.05015676050752862,0.4184465166807105,0.06731783539203086,0.6027876224028422,0.6489673764731257,-0.06508486485799744,0.04617975407028352
2017-06-30,0.37175362757939934,0.1978451737088821,0.2337049536666399,0.18343708254419241,0.5530251487050781,0.5986141563488669,-0.17390845387051723,0.045589007643788815
2017-07-31,0.19678749318981184,0.10235592622903514,0.3674510557205298,0.27670981362113856,0.5434608132449605,0.5834877443504167,-0.0944315669607767,0.04002693110545619
2017-08-31,0.05156571057783752,0.062771637127763,0.29340588714098126,0.31034852659101286,0.5409858232460467,0.5751939610453798,0.011205926549925478,0.03420813779933307
2017-09-30,0.14247310781535333,0.20879072553913428,0.28948362655688825,0.24910329505297066,0.3625444786175074,0.41981263646906414,0.06631761772378095,0.057268157851556756
2017-10-31,0.07271051769514729,0.10052396301133246,0.14517425409709905,0.1571194428953795,0.49792552816315205,0.5118128200970463,0.027813445316185167,0.013887291933894264
2017-11-30,0.12173402917960363,0.13264847306895763,0.16823702939444374,0.12017687557731291,0.6869843442193215,0.6987798531286498,0.010914443889354003,0.011795508909328234
2017-12-31,0.019356251951052467,-0.0575663363765254,0.14637389196527617,0.023101587101274006,0.7726594333892903,0.7949765272209017,-0.07692258832757787,0.0223170938316114
2018-01-31,-0.040772696529119024,0.005902082249478228,0.05687323191982378,0.09868279005298727,0.6343000723453218,0.6654948305262519,0.04667477877859725,0.031194758180930093
2018-02-28,0.15048559706689316,0.01863566403944795,0.07019308713438217,0.017921918278597095,0.5486591184585097,0.5751885990414329,-0.13184993302744522,0.02652948058292326
2018-03-31,0.27702709697653144,0.21194033020898406,0.3430762822448136,0.3448570900868339,0.6254474967830558,0.657009018068185,-0.06508676676754738,0.031561521285129235
2018-04-30,0.25681660076186064,0.14826258629928993,0.2569781909322728,0.2991334337574038,0.6412477134615651,0.66919974498264,-0.10855401446257071,0.02795203152107495
2018-05-31,0.2790358117314439,0.10993393237210566,0.23793440038438077,0.1194402667485613,0.6510730896345828,0.688566330356808,-0.1691018793593382,0.03749324072222526
2018-06-30,0.1324737819749535,-0.15515965643154633,0.10593852623972831,-0.11136248835087913,0.5840771332062945,0.6164854917351116,-0.2876334384064998,0.03240835852881707
2018-07-31,0.09686735312248364,0.03635517976429262,0.0715356480395603,0.0049828275751255,0.484462356697155,0.5054774289754662,-0.06051217335819102,0.02101507227831123
2018-08-31,-0.02078770730388998,0.11179650233934697,0.004162805837300122,0.1988026805929814,0.6047585271596997,0.6385193458753152,0.13258420964323694,0.03376081871561554
